Country;Total
Afghanistan;62.49 
Albania;16.28 
Algeria;22.68 
Andorra;8.52 
Angola;27.16 
Antigua and Barbuda;8.30 
Argentina;12.04 
Armenia;34.13 
Australia;8.93 
Austria;11.51 
Azerbaijan;24.64 
Bahamas;5.20 
Bahrain;51.82 
Bangladesh;45.99 
Barbados;9.79 
Belarus;15.48 
Belgium;11.26 
Belize;10.51 
Benin;31.51 
Bhutan;26.10 
Bolivia (Plurinational State of);25.23 
Bosnia and Herzegovina;26.19 
Botswana;12.82 
Brazil;10.94 
Brunei Darussalam;6.86 
Bulgaria;17.29 
Burkina Faso;40.74 
Burundi;28.00 
Cabo Verde;31.08 
Cambodia;17.80 
Cameroon;56.37 
Canada;6.39 
Central African Republic;27.20 
Chad;41.15 
Chile;20.49 
China;38.15 
Colombia;14.04 
Comoros;14.37 
Congo;29.48 
Cook Islands;7.80 
Costa Rica;14.70 
Côte d'Ivoire;40.41 
Croatia;15.29 
Cuba;13.32 
Cyprus;14.52 
Czechia;14.34 
Democratic People's Republic of Korea;41.46 
Democratic Republic of the Congo;31.58 
Denmark;9.66 
Djibouti;19.98 
Dominica;8.22 
Dominican Republic;7.59 
Ecuador;16.55 
Egypt;63.16 
El Salvador;22.15 
Equatorial Guinea;25.67 
Eritrea;22.74 
Estonia;6.35 
Eswatini;15.07 
Ethiopia;21.80 
Fiji;7.36 
Finland;5.47 
France;10.46 
Gabon;26.29 
Gambia;39.10 
Georgia;19.06 
Germany;10.73 
Ghana;46.04 
Greece;14.62 
Grenada;10.08 
Guatemala;20.75 
Guinea;37.57 
Guinea-Bissau;34.85 
Guyana;11.11 
Haiti;9.69 
Honduras;18.93 
Hungary;14.24 
Iceland;5.79 
India;50.17 
Indonesia;19.34 
Iran (Islamic Republic of);31.62 
Iraq;39.29 
Ireland;8.20 
Israel;19.47 
Italy;14.22 
Jamaica;14.83 
Japan;10.84 
Jordan;25.87 
Kazakhstan;26.50 
Kenya;12.52 
Kiribati;7.62 
Kuwait;64.08 
Kyrgyzstan;37.58 
Lao People's Democratic Republic;21.15 
Latvia;12.02 
Lebanon;24.23 
Lesotho;17.60 
Liberia;35.80 
Libya;29.84 
Lithuania;10.37 
Luxembourg;8.89 
Madagascar;16.02 
Malawi;18.57 
Malaysia;21.52 
Maldives;13.00 
Mali;38.55 
Malta;12.93 
Marshall Islands;7.21 
Mauritania;41.98 
Mauritius;10.48 
Mexico;17.83 
Micronesia (Federated States of);7.79 
Monaco;9.21 
Mongolia;41.30 
Montenegro;19.30 
Morocco;13.44 
Mozambique;16.45 
Myanmar;27.16 
Namibia;11.81 
Nauru;7.40 
Nepal;36.43 
Netherlands;10.74 
New Zealand;8.61 
Nicaragua;16.00 
Niger;50.15 
Nigeria;55.64 
Niue;6.74 
Norway;6.30 
"occupied Palestinian territory; including east Jerusalem";30.82 
Oman;34.88 
Pakistan;50.13 
Palau;7.82 
Panama;11.78 
Papua New Guinea;8.89 
Paraguay;12.31 
Peru;29.07 
Philippines;22.45 
Poland;18.83 
Portugal;7.34 
Qatar;59.04 
Republic of Korea;24.04 
Republic of Moldova;12.37 
North Macedonia;25.17 
Romania;13.30 
Russian Federation;8.88 
Rwanda;35.66 
Saint Kitts and Nevis;8.05 
Saint Lucia;8.98 
Saint Vincent and the Grenadines;9.41 
Samoa;7.78 
San Marino;9.85 
Sao Tome and Principe;33.75 
Saudi Arabia;57.16 
Senegal;38.21 
Serbia;21.74 
Seychelles;16.96 
Sierra Leone;39.42 
Singapore;13.33 
Slovakia;15.89 
Slovenia;14.08 
Solomon Islands;7.83 
Somalia;14.28 
South Africa;19.75 
South Sudan;20.18 
Spain;9.34 
Sri Lanka;23.88 
Sudan;21.43 
Suriname;12.17 
Sweden;5.96 
Switzerland;8.97 
Syrian Arab Republic;25.14 
Tajikistan;53.65 
Thailand;24.64 
Timor-Leste;20.47 
Togo;35.66 
Tonga;7.52 
Trinidad and Tobago;10.26 
Tunisia;26.52 
Türkiye;23.25 
Turkmenistan;26.41 
Tuvalu;6.81 
Uganda;31.31 
Ukraine;13.51 
United Arab Emirates;41.75 
United Kingdom of Great Britain and Northern Ireland;9.52 
United Republic of Tanzania;15.36 
United States of America;7.18 
Uruguay;8.48 
Uzbekistan;40.98 
Vanuatu;8.42 
Venezuela (Bolivarian Republic of);16.21 
Viet Nam;20.89 
Yemen;41.61 
Zambia;16.90 
Zimbabwe;13.08 
